Category,Metric,Value,Details,Year,Source
Hardware,MiX Rovi II,Latest Rovi configuration,Android-based launched in US market,2015,Page 259
Hardware,MiX Rovi Compliance,ELD-compliant,,2021,Page 259
Hardware,MiX RIBAS,In-cab device for driver improvement,"Dash-mounted array of 5 symbols (RIBAS = over Revving, excessive Idling, harsh Braking, harsh Acceleration, over Speeding)",2021,Page 259
Hardware,RIBAS Display,Green/amber/red status lights,Alert driver of performance,2021,Page 259
Software,MiX Fleet Manager,Premium fleet management solution,"Delivers information using wide range of hardware devices and accessories",2021,Page 260
Software,Fleet Manager Premium Features,"Real-time tracking of vehicles and drivers, monitoring and management of driver and vehicle performance, location management, communication and messaging, fleet operating cost reporting, vehicle maintenance reporting, service reminders, monitoring of trailer parameters",,2021,Page 260
Software,Fleet Manager Premium Communication,Event reporting and online communications,Via cellular or satellite,2021,Page 260
Software,MiX Insight Reports,Business intelligence tool,"Enables customers to leverage historical and real-time fleet information with advanced visualization features",2021,Page 260
Software,MiX Insight Agility,Extension of Insight Reports portfolio,Supports development of customized reports,2021,Page 260
Software,HOS and IFTA Compliance,Key part of offering for North American market,"MiX Fleet Manager Premium solution for Hours of Service fully compliant with FMCSA's specifications",2021,Page 260
Software,MiX Asset Manager,Includes MiX Tabs,"For locating moveable assets like generators, storage tanks, work lights and pumps",2021,Page 260
Software,MiX Journey Management,Online process,"Trip requests, trip approvals, trip monitoring",2021,Page 260
Software,MyMiX driver app,"Includes driver scoring, gamification and task management modules",,2021,Page 260
Software,MiX Integrate,Open API,Enables deep integration with variety of industry-specific third-party solutions,2021,Page 260
Video,MiX Vision,Continuously captures rolling 72 hours of video,"Can retrieve any 30-minute segment when needed",2021,Page 260
Video,MiX Vision Camera Support,Integration of up to 4 cameras,"Road-facing and infrared driver-facing cameras",2021,Page 260
Video,MiX Vision Upgrade,HD camera capability and live-streaming functionality,,2021,Page 260
Video,MiX Vision AI,Launched May 2021,"Extensive update to video telematics offering",May 2021,Page 260
Video,Vision AI Technology,Machine vision technology,"Detect and alert drivers and managers to unsafe or risky driving behavior",2021,Page 260
Video,Vision AI Monitoring,"Driver fatigue, phone use, distraction, smoking, seat-belt use, forward collision warnings, lane departure warnings",,2021,Page 260
Software Tiers,MiX Fleet Manager Essential,Entry-level solution,"Tracking, vehicle management, driver behavior monitoring",2021,Page 260
Software Tiers,Premium and Essential Availability,Both available as SaaS solutions,Via web and mobile apps for iOS and Android devices,2021,Page 260
Product Launch,MiX Now,Launched December 2018,"Plug-and-play self-service fleet software for business owners",Dec 2018,Page 260
Product Launch,MiX Now Target Market,Particularly designed for smaller fleets in USA,Available for purchase over Internet,2018,Page 261
Platform,MiX Lightning,New scalable cloud-based backend platform,Designed to support future subscriber base growth,2021,Page 261
Pricing,Monthly Service Fees,US $25-95 per month,Depending on product solution and term of contract,2021,Page 261
Target Markets,Key Segments in North America,"Oil & gas, fleet service, transportation & logistics, landscaping, construction",,2021,Page 261
Target Markets,Other Verticals,"Hazardous material transport, rental and leasing, construction, utilities, emergency services, government, mining, public transport, landscaping, HVAC, plumbing, construction",,2021,Page 261
Target Markets,SMB Growth,Acquired over 100 new customers in this sector,In FY2021,FY2021,Page 261
Customers,Major Global Customers,"Baker Hughes, Basic Energy, Chevron, DHL, Halliburton, Schlumberger, Total, Archrock, C&J Energy Services, Key Energy Services",,2021,Page 261
Market Position,Industry Ranking,One of the largest global players in telematics industry,,2021,Page 261
Market Position,Geographic Focus - Americas,"First mainly focused on U.S. and Canadian markets, now extended to include South America",,2021,Page 261
Market Position,Oil & Gas Leadership,Continues to grow leadership position as telematics partner of choice for oil & gas companies in U.S.,,2021,Page 261
Value Proposition,North America Focus,"Greater efficiency and management control, emphasis on fleet efficiencies, driver safety, DOT Hours-of-Service and IFTA compliance",,2021,Page 261
Business Model,Service Model,Bundled SaaS service model with monthly service fees,,2021,Page 261
