Insurance BD - Partners (Prospects & Current) - INTERNAL,Unnamed: 1,Unnamed: 2,"Insurance Companies, MGA's Brokers, Risk Management Consultants & TSPs/other Resellers",Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Aviva (MyDrive/Telematics),,,,,UK/EU,Motor insurer w/ telematics,,Telematics/driver app initiatives,,,,,,,,,,,,https://www.aviva.co.uk/insurance/motor/car-insurance/knowledge-centre/telematics/,,,,,Aviva (MyDrive/Telematics)
Allianz (BonusDrive DE),,,,,EU,Telematics program,,Telematics for young drivers (DE),,,,,,,,,,,,https://www.allianz.de/auto/kfz-versicherung/bonusdrive/,,,,,Allianz (BonusDrive DE)
Generali (Jeniot),,,,,EU,Telematics / IoT unit,,Connected insurance & mobility (Generali),,,,,,,,,,,,https://www.jeniot.it/en/,,,,,Generali (Jeniot)
UnipolSai (Black Box),,,,,EU,Telematics pioneer,,Black‑box telematics leader (IT),,,,,,,,,,,,https://www.unipolsai.it/servizi/scatola-nera,,,,,UnipolSai (Black Box)
MAPFRE (Ycar),,,,,EU,Telematics product,,Youth/UBI telematics (ES),,,,,,,,,,,,https://www.mapfre.es/particulares/seguros/automoviles/seguros-coche-coberturas/seguro-ycar/,,,,,MAPFRE (Ycar)
AXA (Brightmile / Fleet),,,,,UK/EU,Fleet risk telematics,,Smartphone telematics via Brightmile,,,,,,,,,,,,https://www.axaconnect.co.uk/commercial-lines/risk-management/motor/smartphone-telematics/,,,,,AXA (Brightmile / Fleet)
HDVI (High Definition Vehicle Insurance),,,,,USA,Commercial trucking UBI,,Dynamic pricing w/ integrated telematics,,,,,,,,,,,,https://hdvi.com/,,,,,HDVI (High Definition Vehicle Insurance)
Fairmatic,,,,,USA,Commercial auto UBI,,Telematics‑driven commercial auto,,,,,,,,,,,,https://www.fairmatic.com/,,,,,Fairmatic
Cover Whale,,,,,USA,Trucking MGA,,Telematics & camera‑driven safety discounts,,,,,,,,,,,,https://www.coverwhale.com/,,,,,Cover Whale
Progressive Snapshot,,,,,USA,Personal UBI program,,App/OBD program (personal auto),,,,,,,,,,,,https://www.progressive.com/auto/discounts/snapshot/,,,,,Progressive Snapshot
Allstate Drivewise,,,,,USA,Personal UBI program,,App‑based personal UBI,,,,,,,,,,,,https://www.allstate.com/auto-insurance/drivewise.aspx,,,,,Allstate Drivewise
State Farm Drive Safe & Save,,,,,USA,Personal UBI program,,App‑based personal UBI,,,,,,,,,,,,https://www.statefarm.com/insurance/auto/discounts/drive-safe-save,,,,,State Farm Drive Safe & Save
Liberty Mutual RightTrack,,,,,USA,Personal UBI program,,App‑based personal UBI,,,,,,,,,,,,https://www.libertymutual.com/righttrack,,,,,Liberty Mutual RightTrack
Travelers IntelliDrive,,,,,USA,Personal UBI program,,App‑based personal UBI,,,,,,,,,,,,https://www.travelers.com/auto-insurance/discounts/intellidrive,,,,,Travelers IntelliDrive
Farmers Signal,,,,,USA,Personal UBI program,,App‑based personal UBI,,,,,,,,,,,,https://www.farmers.com/auto/discounts/signal/,,,,,Farmers Signal
Desjardins Ajusto,,,,,Canada,Personal UBI program,,App‑based UBI (Canada),,,,,,,,,,,,https://www.desjardins.com/ca/insurance/auto-home/auto-insurance/ajusto.jsp,,,,,Desjardins Ajusto
TD Insurance (MyAdvantage),,,,,Canada,Personal UBI program,,App‑based UBI (Canada),,,,,,,,,,,,https://www.tdinsurance.com/products-services/auto-car-insurance/my-advantage,,,,,TD Insurance (MyAdvantage)
belairdirect automerit,,,,,Canada,Personal UBI program,,App‑based UBI (Canada),,,,,,,,,,,,https://www.belairdirect.com/en/auto-insurance/telematics/auto-merit.html,,,,,belairdirect automerit
Onlia (Sense),,,,,Canada,Personal UBI program,,App‑based telematics rewards (Ontario),,,,,,,,,,,,https://www.onlia.ca/drive,,,,,Onlia (Sense)
Sompo Japan (Drive Recorder),,,,,APAC,Telematics motor,,Drive recorder telematics initiatives,,,,,,,,,,,,https://www.sompo-japan.co.jp/english/,,,,,Sompo Japan (Drive Recorder)
Aioi Nissay Dowa / Toyota Insurance,,,,,APAC,Telematics motor,,Telematics motor (Toyota group),,,,,,,,,,,,https://www.aioinissaydowa.co.jp/english/,,,,,Aioi Nissay Dowa / Toyota Insurance
HDFC ERGO (Pay As You Drive),,,,,APAC,Telematics motor,,IRDAI‑approved PAYD telematics,,,,,,,,,,,,https://www.hdfcergo.com/blogs/car-insurance/pay-as-you-drive-insurance,,,,,HDFC ERGO (Pay As You Drive)
ICICI Lombard (Pay As You Drive),,,,,APAC,Telematics motor,,PAYD telematics in India,,,,,,,,,,,,https://www.icicilombard.com/motor-insurance/pay-as-you-drive,,,,,ICICI Lombard (Pay As You Drive)
Quálitas,,,,,LATAM,Auto insurer (telematics programs),,Major Mexican auto insurer; telematics initiatives,,,,,,,,,,,,https://www.qualitas.com.mx/,,,,,Quálitas
Porto Seguro,,,,,LATAM,Telematics / UBI programs,,Brazilian insurer with connected programs,,,,,,,,,,,,https://www.portoseguro.com.br/,,,,,Porto Seguro
Seguros SURA,,,,,LATAM,Telematics / UBI programs,,Telematics for safer driving programs,,,,,,,,,,,,https://www.segurossura.com/co/,,,,,Seguros SURA
QBE,,,,,AUS/NZ,Fleet/commercial telematics,,Commercial fleet; telematics partnerships,,,,,,,,,,,,https://www.qbe.com/au/business/insurance/fleet-insurance,,,,,QBE
AAMI (Suncorp) Safe Driver App,,,,,AUS/NZ,Telematics app,,Safe Driver smartphone telematics app,,,,,,,,,,,,https://www.aami.com.au/tools-resources/driving-apps/safe-driver-app.html,,,,,AAMI (Suncorp) Safe Driver App
Direct Line Group (DrivePlus/Churchill DriveSure),,,,,UK/EU,Telematics programs,,DrivePlus telematics,,,,,,,,,,,,https://www.directline.com/,,,,,Direct Line Group (DrivePlus/Churchill DriveSure)
Hastings Direct YouDrive,,,,,UK/EU,Telematics product,,App/box-based telematics,,,,,,,,,,,,https://www.hastingsdirect.com/,,,,,Hastings Direct YouDrive
LV=,,,,,UK/EU,Telematics via partners,,Digital motor; UBI pilots,,,,,,,,,,,,https://www.lv.com/,,,,,LV=
Co-op Young Driver,,,,,UK/EU,Black box,,Telematics for young drivers,,,,,,,,,,,,https://www.co-opinsurance.co.uk/,,,,,Co-op Young Driver
,,,,,,,,,,,,,,,,,,,,https://www.allianz.de/,,,,,Allianz (BonusDrive)
AXA,,,,,EU/UK,Fleet & telematics partners,,AXA fleet risk & telematics,,,,,,,,,,,,https://www.axa.com/,,,,,AXA
Generali (Jeniot),,,,,EU,Telematics / IoT unit,,Connected insurance,,,,,,,,,,,,https://www.jeniot.it/,,,,,Generali (Jeniot)
Zurich Insurance,,,,,EU/UK,Connected/UBI partnerships,,Global commercial motor,,,,,,,,,,,,https://www.zurich.com/,,,,,Zurich Insurance
HDI Global,,,,,EU,Commercial motor,,Fleet insurance; telematics partners,,,,,,,,,,,,https://www.hdi.global/,,,,,HDI Global
Baloise,,,,,EU,Telematics pilots,,Digital motor initiatives,,,,,,,,,,,,https://www.baloise.com/,,,,,Baloise
The Co-operators,,,,,Canada,Digital motor,,Connected programs,,,,,,,,,,,,https://www.cooperators.ca/,,,,,The Co-operators
Economical / Definity,,,,,Canada,Digital motor,,Modern P&C; potential UBI,,,,,,,,,,,,https://www.definityfinancial.com/,,,,,Economical / Definity
Nationwide (SmartRide),,,,,USA,UBI app,,App-based UBI,,,,,,,,,,,,https://www.nationwide.com/,,,,,Nationwide (SmartRide)
Tokio Marine,,,,,APAC,Commercial motor,,Connected programs in APAC,,,,,,,,,,,,https://www.tokiomarinehd.com/en/,,,,,Tokio Marine
QBE,,,,,AUS/NZ,Fleet/commercial motor,,Commercial fleets; telematics partners,,,,,,,,,,,,https://www.qbe.com/au/,,,,,QBE
IAG (NRMA/CGU),,,,,AUS/NZ,Motor/fleet,,Digital motor; telematics pilots,,,,,,,,,,,,https://www.iag.com.au/,,,,,IAG (NRMA/CGU)
Youi,,,,,AUS/NZ,Digital motor,,Usage-based/driver scoring features,,,,,,,,,,,,https://www.youi.com.au/,,,,,Youi
Quálitas,,,,,LATAM,Auto insurer,,Telematics initiatives Mexico,,,,,,,,,,,,https://www.qualitas.com.mx/,,,,,Quálitas
GNP Seguros,,,,,LATAM,Auto insurer,,Digital motor; connected pilots,,,,,,,,,,,,https://www.gnp.com.mx/,,,,,GNP Seguros
AXA México,,,,,LATAM,Auto insurer w/ telematics,,Telematics discounts,,,,,,,,,,,,https://www.axa.mx/,,,,,AXA México
Bradesco Seguros,,,,,LATAM,Auto insurer,,Digital initiatives,,,,,,,,,,,,https://www.bradescoseguros.com.br/,,,,,Bradesco Seguros
Ticker,,,,,UK/EU,Telematics/UBI,,App/box telematics for young drivers,,,,,,,,,,,,https://www.ticker.co.uk/,,,,,Ticker
Helvetia,,,,,EU,Motor/fleet,,Digital motor; connected pilots,,,,,,,,,,,,https://www.helvetia.com/,,,,,Helvetia
Baloise,,,,,EU,Motor/fleet,,Digital motor; connected pilots,,,,,,,,,,,,https://www.baloise.com/,,,,,Baloise
Groupama,,,,,EU,Motor/fleet,,Auto insurer; digital motor,,,,,,,,,,,,https://www.groupama.com/,,,,,Groupama
La Banque Postale Assurances,,,,,EU,Motor/fleet,,Auto insurer; potential telematics,,,,,,,,,,,,https://www.labanquepostale.fr/particulier/assurances.html,,,,,La Banque Postale Assurances
Root Insurance,,,,,,UBI/Telematics,,Telematics-first personal auto,,,,,,,,,,,,https://www.joinroot.com/,,,,,Root Insurance
Lemonade (ex-Metromile),,,,,,UBI/Telematics,,Digital auto; Metromile telematics,,,,,,,,,,,,https://www.lemonade.com/,,,,,Lemonade (ex-Metromile)
USAA,,,,,,UBI/Telematics,,Digital motor; telematics partner,,,,,,,,,,,,https://www.usaa.com/,,,,,USAA
GEICO (DriveEasy),,,,,,UBI/Telematics,,App-based UBI program,,,,,,,,,,,,https://www.geico.com/,,,,,GEICO (DriveEasy)
AAA/CSAA (AAADrive),,,,,,UBI/Telematics,,Telematics app for discounts,,,,,,,,,,,,https://csaa-insurance.aaa.com/,,,,,AAA/CSAA (AAADrive)
CAA Insurance (MyPace/AAADrive),,,,,Canada,UBI/Telematics,,UBI/telematics programs,,,,,,,,,,,,https://www.caasco.com/insurance,,,,,CAA Insurance (MyPace/AAADrive)
Sonnet (Economical),,,,,Canada,UBI/Telematics,,Digital motor; UBI compatibility,,,,,,,,,,,,https://www.sonnet.ca/,,,,,Sonnet (Economical)
Ping An Insurance,,,,,APAC,Motor/UBI,,Connected car/telematics partnerships,,,,,,,,,,,,https://group.pingan.com/,,,,,Ping An Insurance
PICC,,,,,APAC,Motor/UBI,,Auto insurer; connected pilots,,,,,,,,,,,,http://www.picc.com/,,,,,PICC
CPIC (China Pacific),,,,,APAC,Motor/UBI,,Auto insurer; connected pilots,,,,,,,,,,,,https://www.cpic.com.cn/,,,,,CPIC (China Pacific)
MSIG (Mitsui Sumitomo),,,,,APAC,Motor/UBI,,Commercial motor across APAC,,,,,,,,,,,,https://www.msig.com/,,,,,MSIG (Mitsui Sumitomo)
Bajaj Allianz,,,,,APAC,Motor/UBI,,PAYD/telematics add-ons,,,,,,,,,,,,https://www.bajajallianz.com/,,,,,Bajaj Allianz
Tata AIG,,,,,APAC,Motor/UBI,,Connected/UBI pilots,,,,,,,,,,,,https://www.tataaig.com/,,,,,Tata AIG
HDI Seguros México,,,,,LATAM,Motor/UBI,,Auto insurer; telematics-ready,,,,,,,,,,,,https://www.hdi.com.mx/,,,,,HDI Seguros México
Zurich Brasil,,,,,LATAM,Motor/UBI,,Commercial motor; digital,,,,,,,,,,,,https://www.zurich.com.br/,,,,,Zurich Brasil
Allianz México,,,,,LATAM,Motor/UBI,,Auto insurer; digital motor,,,,,,,,,,,,https://www.allianz.com.mx/,,,,,Allianz México
MAPFRE Brasil,,,,,LATAM,Motor/UBI,,Auto insurer; connected programs,,,,,,,,,,,,https://www.mapfre.com.br/,,,,,MAPFRE Brasil
,,,,,,,,,,,,,,,,,,,,,,,,,
Fleetr,,,Non-Tech Stack,"Joe DiMartino, CEO ",US ,"Cars, PUs, Vans (Class 1-4)",Looking at Surfsight,"Quote Discount, possible subsidies",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
BROKERS,,,,,,,,,,,,,,,,,,,,,,,,,
Aon,,AM,Tech-Stack,"Curtis Scott, EVP Future Mobility & Digital Economy; James Cowen Chief Commercial Officer & Andrew Laughlan, VP Sales at Aon Growth Ventures; Mark Brockington - Trucking President?",Global,,,Fleet Risk Intelligence,,,,,,,,,,,,,,,,,
Lockton,,JD,Non-Tech Stack,"Preet Gill - EVP GLobal Technology Risk Practice Leader; Jon Finn, AVP Sr. Risk Control Consultant",Global,All - big in Trucking,,Transportatation - ENT to SMB,"Not bulding teck stack - bi directional referrals, Insurance MP, need broker tools",,,,,,,,,,,,,,,,
HUB,,AM,Non-Tech Stack,Lisa Paul,Global,,,,,,,,,,,,,,,,,,,,
BFL,,AM,Non-Tech Stack,,CAN,,,,,,,,,,,,,,,,,,,,
Assurant,,AM,Non-Tech Stack,,???,,,,,,,,,,,,,,,,,,,,
Reliance Partners,,JD,Non-Tech Stack,"Chad Eichelberger, Preseident; John Seidl, VP Risk Services",US ,Trucking,,,,,,,,,,,,,,,,,,,
Alliant ,,AM,,"Mark Epperson, Sr, VP, Chief Client Officer ",,,,,,,,,,,,,,,,,,,,,
Futuristic UW,,JD,Non-Tech Stack,,,,,,,,,,,,,,,,,,,,,,
Ryan Specialty ,,JD,,Doug Hathaway,,,,,,,,,,,,,,,,,,,,,
McGriff ,,AM,,,,,,,,,,,,,,,,,,,,,,,
Transportation Insurance Advisors,,AM,,"Andy Light, President",,,,,,,,,,,,,,,,,,,,,
Crest Insurance,,AM,,"Cody Ritchie, Pres",,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FLEET CAPTIVES,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RISK MANAGEMENT CONSULTANTS,,,,,,,,,,,,,,,,,,,,,,,,,
 ,, ,,,,,,,,,,,,,,,,,,,,,,,
"MAINTENANCE, REPAIR & FUEL",,,,,,,,,,,,,,,,,,,,,,,,,
Fleetio,,,,,,,,,,,,,,,,,,,,,,,,,
CCC,,,,Nathan Potance,,,,,Partner with Xtract,,,,,,,,,,,,,,,,
Fixico,,,,Franz Ditmer,,,,,Partner with Xtract,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RISK MANAGEMENT  TECH & TELEMATICS,,,,,,,,,,,,,,,,,,,,,,,,,
Scoring & Collision Reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,
Tnedicca,,,,Curtis Crocker & Yiem ,,,,Safety Risk Modeling Data,,,,,,,,,,,,,,,,,
Milliman,,,Tech Stack,Peggy Brinkman - Principal Actuary,,,,Score modeling,,,,,,,,,,,,,,,,,
Predictive Coach ,,,,"Jerome Toliver, Maurico ",,,,LMS - Driver Coaching Training Modules,Bought by Transflo/ATI July 2024,,,,,,,,,,,,,,,,
SambaSafety ,,,,Rick Fendell - CRO,,,,LMS - Driver Coaching Training Modules,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FLEET MANAGEMENT ,,,,,,,,,,,,,,,,,,,,,,,,,
Navixy,,,,,,,,,,,,,,,,,,,,,,,,,
SquareGPS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
VERTICALS,,,,,,,,,,,,,,,,,,,,,,,,,
Towing Services Insurance Companies/MGAs/Captives ,,,,,,,,,,,,,,,,,,,,,,,,,
